C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64
258.0,240.0,243.0,198.0,219.0,194.0,210.0,180.0,185.0,169.0,181.0,157.0,151.0,143.0,121.0,154.0,102.0,121.0,101.0,83.0,85.0,94.0,81.0,71.0,88.0,29.0,37.0,17.0,28.0,-20.0,1.0,-18.0,-32.0,-56.0,-53.0,-76.0,-120.0,-95.0,-116.0,-131.0,-158.0,-152.0,-194.0,-187.0,-242.0,-246.0,-228.0,-273.0,-229.0,-239.0,-256.0,-238.0,-252.0,-250.0,-250.0,-240.0,-251.0,-255.0,-233.0,-232.0,-253.0,-254.0,-246.0,-229.0
249.0,252.0,245.0,247.0,260.0,249.0,238.0,240.0,267.0,249.0,248.0,236.0,236.0,249.0,252.0,249.0,236.0,244.0,236.0,255.0,266.0,235.0,253.0,257.0,267.0,218.0,247.0,243.0,245.0,277.0,253.0,231.0,228.0,223.0,221.0,269.0,246.0,251.0,263.0,258.0,245.0,236.0,250.0,239.0,246.0,225.0,195.0,71.0,-127.0,-230.0,-251.0,-234.0,-234.0,-247.0,-260.0,-245.0,-241.0,-232.0,-236.0,-239.0,-248.0,-240.0,-208.0,-252.0
235.0,249.0,266.0,251.0,239.0,250.0,239.0,245.0,272.0,228.0,222.0,230.0,230.0,217.0,251.0,243.0,264.0,276.0,221.0,236.0,246.0,256.0,249.0,247.0,239.0,224.0,239.0,217.0,249.0,276.0,241.0,230.0,244.0,241.0,239.0,231.0,255.0,234.0,241.0,280.0,263.0,243.0,223.0,229.0,32.0,-62.0,-218.0,-264.0,-249.0,-233.0,-246.0,-236.0,-260.0,-236.0,-222.0,-250.0,-244.0,-269.0,-268.0,-246.0,-242.0,-256.0,-263.0,-264.0
248.0,206.0,271.0,218.0,233.0,256.0,247.0,244.0,251.0,245.0,256.0,265.0,235.0,235.0,259.0,248.0,251.0,230.0,241.0,254.0,231.0,228.0,237.0,280.0,226.0,221.0,252.0,253.0,269.0,239.0,258.0,243.0,231.0,250.0,235.0,252.0,245.0,241.0,251.0,258.0,228.0,250.0,268.0,231.0,244.0,68.0,9.0,-96.0,-231.0,-278.0,-234.0,-221.0,-235.0,-247.0,-271.0,-264.0,-258.0,-245.0,-256.0,-224.0,-247.0,-218.0,-250.0,-250.0
238.0,245.0,232.0,245.0,261.0,230.0,258.0,257.0,230.0,240.0,250.0,242.0,257.0,238.0,227.0,254.0,231.0,246.0,242.0,278.0,264.0,258.0,258.0,226.0,213.0,223.0,239.0,239.0,253.0,248.0,263.0,245.0,240.0,236.0,225.0,256.0,254.0,228.0,243.0,251.0,246.0,246.0,238.0,260.0,171.0,-14.0,-226.0,-262.0,-271.0,-243.0,-244.0,-228.0,-243.0,-241.0,-258.0,-265.0,-275.0,-228.0,-247.0,-248.0,-216.0,-247.0,-224.0,-260.0
236.0,247.0,245.0,251.0,236.0,199.0,276.0,248.0,251.0,235.0,237.0,264.0,247.0,268.0,258.0,246.0,243.0,275.0,238.0,243.0,233.0,220.0,239.0,249.0,245.0,263.0,246.0,249.0,237.0,262.0,225.0,263.0,225.0,259.0,253.0,236.0,246.0,224.0,220.0,234.0,223.0,248.0,243.0,-104.0,-223.0,-234.0,-244.0,-249.0,-225.0,-242.0,-245.0,-255.0,-258.0,-240.0,-239.0,-229.0,-231.0,-254.0,-260.0,-235.0,-262.0,-226.0,-203.0,-226.0
253.0,249.0,255.0,246.0,248.0,258.0,214.0,240.0,230.0,231.0,256.0,245.0,229.0,232.0,233.0,244.0,263.0,249.0,241.0,255.0,240.0,228.0,251.0,254.0,237.0,242.0,232.0,242.0,251.0,251.0,232.0,257.0,232.0,217.0,233.0,224.0,205.0,276.0,122.0,45.0,-61.0,-119.0,-220.0,-224.0,-274.0,-230.0,-233.0,-256.0,-264.0,-223.0,-221.0,-213.0,-247.0,-235.0,-260.0,-218.0,-233.0,-259.0,-232.0,-256.0,-228.0,-235.0,-257.0,-244.0
245.0,255.0,269.0,242.0,236.0,224.0,240.0,257.0,248.0,232.0,252.0,241.0,238.0,239.0,215.0,257.0,258.0,248.0,264.0,235.0,258.0,241.0,266.0,229.0,247.0,263.0,266.0,243.0,240.0,256.0,252.0,245.0,252.0,249.0,28.0,-53.0,-135.0,-236.0,-241.0,-245.0,-247.0,-262.0,-243.0,-255.0,-267.0,-229.0,-237.0,-257.0,-258.0,-245.0,-235.0,-225.0,-250.0,-251.0,-246.0,-234.0,-246.0,-251.0,-259.0,-242.0,-261.0,-236.0,-264.0,-252.0
225.0,262.0,249.0,244.0,256.0,252.0,247.0,244.0,258.0,235.0,220.0,239.0,261.0,255.0,251.0,244.0,236.0,260.0,232.0,243.0,296.0,213.0,271.0,252.0,216.0,223.0,246.0,254.0,220.0,241.0,176.0,67.0,-25.0,-155.0,-239.0,-228.0,-227.0,-209.0,-272.0,-247.0,-265.0,-225.0,-222.0,-223.0,-250.0,-256.0,-259.0,-237.0,-235.0,-209.0,-243.0,-256.0,-233.0,-256.0,-253.0,-213.0,-246.0,-258.0,-245.0,-247.0,-249.0,-228.0,-218.0,-232.0
250.0,241.0,247.0,238.0,226.0,242.0,242.0,253.0,235.0,252.0,252.0,245.0,261.0,238.0,256.0,214.0,249.0,242.0,226.0,248.0,251.0,267.0,249.0,240.0,210.0,253.0,237.0,215.0,240.0,216.0,6.0,-181.0,-249.0,-243.0,-240.0,-229.0,-260.0,-237.0,-240.0,-246.0,-228.0,-255.0,-234.0,-261.0,-266.0,-225.0,-218.0,-227.0,-250.0,-263.0,-255.0,-266.0,-260.0,-269.0,-218.0,-247.0,-250.0,-260.0,-249.0,-250.0,-251.0,-233.0,-248.0,-231.0
